학교명,x,y










대구도원초등학교,128.5421307,35.80470737
대구동곡초등학교,128.4173532,35.87936389
대구동덕초등학교,128.6046712,35.86470834
대구동도초등학교,128.6240176,35.85709448
대구동문초등학교,128.6524258,35.8748369
대구동변초등학교,128.604165,35.91913153
대구동부초등학교,128.619832,35.88802474
대구동산초등학교,128.628072,35.84914164
대구동성초등학교,128.6126989,35.85342865
대구동신초등학교,128.6150298,35.87827603
대구동원초등학교,128.6398865,35.86486801
대구동인초등학교,128.6095062,35.86808439
대구동일초등학교,128.6167788,35.85799766
대구동천초등학교,128.6257449,35.86530348
대구동촌초등학교,128.6589293,35.88202794
대구동평초등학교,128.561032,35.93896909
대구동호초등학교,128.7204845,35.86535031
대구두류초등학교,128.5599193,35.86161552
대구두산초등학교,128.6260889,35.83259729
대구들안길초등학교,128.6184098,35.83886822
대구만촌초등학교,128.6479227,35.86668961
대구매곡초등학교,128.4681199,35.86224983
대구매동초등학교,128.7092073,35.84521277
대구매천초등학교,128.5410367,35.91332651
대구매호초등학교,128.7121182,35.84150742
대구명곡초등학교,128.4961175,35.79667071
대구명덕초등학교,128.5890267,35.85754073
대구문성초등학교,128.6202767,35.90583464
대구반송초등학교,128.4946927,35.75661793
대구반야월초등학교,128.7107606,35.86827216
대구방촌초등학교,128.6630356,35.88065351
대구범물초등학교,128.6448582,35.82148369
대구범어초등학교,128.6334733,35.86056415
대구범일초등학교,128.6388284,35.81631646
대구복명초등학교,128.6472131,35.8176268
대구복현초등학교,128.6215386,35.89760701
대구본리초등학교,128.5386389,35.84457479
대구봉덕초등학교,128.5968429,35.83968334
대구봉무초등학교,128.637414,35.92580017
대구북동초등학교,128.4413202,35.72947978
대구북부초등학교,128.558996,35.93349383
대구북비산초등학교,128.5643756,35.8815459
대구불로초등학교,128.633502,35.89748035
대구비봉초등학교,128.5686561,35.88276366
대구비산초등학교,128.5645258,35.87859648
대구비슬초등학교,128.458744,35.69605694
대구사수초등학교,128.5152482,35.90014837
대구사월초등학교,128.7150404,35.83405178
대구산격초등학교,128.6063966,35.89455113
대구삼덕초등학교,128.6078444,35.86355823
대구삼영초등학교,128.5096899,35.90167735
대구삼육초등학교,128.6106238,35.83976721
대구상원초등학교,128.5506746,35.80636651
대구상인초등학교,128.5426728,35.81293403
대구새론초등학교,128.7170845,35.88439053
대구서도초등학교,128.5653531,35.86727153
대구서동초등학교,128.4884318,35.87186474
대구서변초등학교,128.5950261,35.9207565
대구서부초등학교,128.5737138,35.87387969
대구서재초등학교,128.4983801,35.87192218
대구서촌초등학교,128.6317462,35.98040487
대구서평초등학교,128.5475424,35.87833333
대구선원초등학교,128.5156559,35.86094193
대구성곡초등학교,128.5135151,35.85809784
대구성남초등학교,128.5722856,35.85332963
대구성당초등학교,128.5472902,35.84055853
대구성동초등학교,128.6322834,35.84090465
대구성명초등학교,128.5708211,35.84515662
대구성북초등학교,128.5942863,35.92640879
대구성산초등학교,128.5189193,35.85789464
대구성서초등학교,128.5144493,35.85196163
대구성지초등학교,128.5190281,35.85324691
대구세천초등학교,128.4814697,35.87434699
대구세현초등학교,128.4198073,35.65978473
대구송일초등학교,128.5328213,35.82413307
